"op","ctrl","mass","form","mod","rad","ref","thk"
"small sample","A",8,"alpha","ch2",6.985,"mgo",1.905
"large sample","A",6,"alpha","none",3.175,"ss304",2.54
"large sample","A",47,"alpha","none",17.78,"ch2",1.905
"small sample","A",21,"alpha","none",7.62,"ch2",1.27
"large sample","A",13,"alpha","none",13.97,"ch2",3.175
"small sample","A",10,"alpha","none",12.7,"ss304",1.27
"small sample","A",25,"alpha","none",8.255,"ch2",3.175
"large sample","A",4,"alpha","ch2",7.62,"ss304",1.27
"metallurgy","E",36,"alpha","none",2.54,"ch2",0.635
"small sample","A",25,"alpha","ch2",4.445,"ch2",3.81
"waste","A",15,"alpha","none",3.81,"ch2",1.27
"large sample","D",108,"alpha","none",3.81,"ss304",0.635
"large sample","D",259,"alpha","none",1.27,"ch2",0.635
"solution","A",19,"alpha","ch2",22.86,"al",1.905
"small sample","A",15,"alpha","none",4.445,"ch2",3.175
"solution","A",7,"alpha","none",22.225,"ch2",2.54
"solution","A",38,"alpha","ch2",13.335,"ch2",1.27
"large sample","E",97,"alpha","none",1.27,"mgo",0.635
"small sample","A",17,"alpha","none",6.35,"ch2",0.635
"solution","A",9,"alpha","none",9.525,"ch2",1.27
"machining","A",42,"alpha","ch2",4.445,"ch2",1.905
"small sample","A",23,"alpha","none",5.715,"ch2",0.635
"large sample","A",65,"alpha","none",17.145,"mgo",0.635
"metallurgy","A",16,"alpha","none",10.16,"mgo",1.27
"large sample","A",33,"alpha","none",11.43,"ch2",1.27
"large sample","A",14,"alpha","none",6.35,"ch2",1.27
"machining","M",88,"alpha","ch2",2.54,"al",0.635
"small sample","A",47,"alpha","none",9.525,"ch2",1.27
"large sample","D",73,"alpha","ch2",9.525,"mgo",0.635
"small sample","A",37,"alpha","none",7.62,"ch2",1.27
"machining","M",79,"alpha","none",8.255,"ch2",0.635
"large sample","A",25,"alpha","ch2",3.81,"mgo",1.27
"large sample","A",28,"alpha","none",9.525,"mgo",1.905
"waste","A",26,"alpha","none",5.08,"mgo",3.175
"large sample","E",86,"alpha","none",2.54,"ch2",0.635
"large sample","D",20,"alpha","none",2.54,"ch2",0.635
"large sample","A",16,"alpha","none",1.905,"mgo",0.635
"solution","A",23,"alpha","none",3.81,"ch2",0.635
"solution","A",14,"alpha","ch2",12.065,"be",1.27
"large sample","A",65,"alpha","mgo",5.08,"ch2",1.905
"large sample","E",112,"alpha","none",1.27,"ss304",0.635
"large sample","M",106,"alpha","none",3.175,"ch2",0.635
"large sample","A",56,"alpha","ch2",13.97,"ss304",5.08
"small sample","A",13,"alpha","none",10.795,"mgo",1.27
"solution","A",27,"alpha","none",7.62,"ss304",1.905
"small sample","A",42,"alpha","none",5.08,"ch2",1.905
"large sample","A",37,"alpha","none",13.335,"ss304",0.635
"small sample","A",17,"alpha","none",3.175,"ch2",3.81
"large sample","D",162,"alpha","none",6.985,"ch2",0.635
"large sample","E",9,"alpha","none",0.635,"du",0.635
"small sample","A",42,"alpha","ch2",6.35,"ss304",0.635
"machining","M",24,"alpha","ch2",9.525,"du",0.635
"large sample","C",63,"alpha","none",8.255,"none",0.635
"small sample","B",31,"alpha","none",3.175,"be",1.905
"large sample","A",37,"alpha","none",1.905,"ch2",0.635
"metallurgy","A",50,"alpha","mgo",6.35,"ch2",1.27
"small sample","A",24,"alpha","none",1.27,"ch2",0.635
"large sample","A",65,"alpha","none",5.715,"ch2",1.905
"solution","A",5,"alpha","none",20.32,"ch2",0.635
"solution","A",11,"alpha","none",23.495,"ch2",1.27
"small sample","A",26,"alpha","none",1.905,"ch2",1.27
"large sample","D",147,"alpha","ch2",0.635,"ch2",0.635
"small sample","A",27,"alpha","none",10.795,"ch2",0.635
"metallurgy","A",21,"alpha","none",1.905,"mgo",1.905
"solution","A",8,"alpha","ch2",24.765,"ss304",5.08
"metallurgy","A",61,"alpha","none",10.795,"ch2",3.175
"waste","A",49,"alpha","none",10.16,"mgo",1.27
"large sample","E",146,"alpha","none",0.635,"mgo",0.635
"machining","M",90,"alpha","none",9.525,"ss304",0.635
"metallurgy","A",6,"alpha","none",8.89,"ss304",1.905
"small sample","A",3,"alpha","none",29.21,"al",0.635
"solution","A",5,"alpha","ch2",4.445,"ch2",0.635
"machining","M",29,"alpha","ch2",12.7,"ss304",0.635
"waste","A",16,"alpha","none",10.795,"pb",2.54
"large sample","A",32,"alpha","none",2.54,"mgo",3.175
"small sample","A",19,"alpha","none",10.795,"ss304",1.27
"large sample","A",2,"alpha","none",43.815,"ch2",1.905
"large sample","A",4,"alpha","none",5.08,"mgo",1.27
"small sample","A",60,"alpha","none",8.255,"ss304",1.27
"machining","M",71,"alpha","ch2",31.115,"ch2",0.635
"small sample","A",39,"alpha","none",28.575,"ch2",1.27
"waste","P",98,"alpha","none",8.89,"be",1.905
"small sample","A",11,"alpha","none",22.86,"ch2",1.27
"metallurgy","B",78,"alpha","none",7.62,"ch2",2.54
"large sample","A",24,"alpha","mgo",12.065,"ch2",0.635
"solution","A",2,"alpha","none",5.08,"ch2",0.635
"large sample","A",21,"alpha","none",0.635,"mgo",1.27
"large sample","A",23,"alpha","none",21.59,"ch2",4.445
"large sample","A",14,"alpha","none",3.175,"mgo",1.27
"small sample","A",10,"alpha","none",3.175,"ch2",0.635
"large sample","D",71,"alpha","none",3.175,"ss304",0.635
"large sample","D",231,"alpha","none",8.255,"ch2",0.635
"large sample","A",65,"alpha","none",10.16,"mgo",0.635
"large sample","M",79,"alpha","mgo",14.605,"ch2",0.635
"small sample","A",27,"alpha","none",4.445,"ch2",3.175
"metallurgy","E",83,"alpha","none",0.635,"ch2",0.635
"large sample","A",19,"alpha","none",17.78,"mgo",5.715
"metallurgy","A",41,"alpha","none",14.605,"ch2",2.54
"solution","A",8,"alpha","ch2",6.35,"ss304",1.905
"small sample","A",22,"alpha","none",6.985,"ch2",2.54
"solution","A",23,"alpha","none",7.62,"ch2",1.905
"waste","A",42,"alpha","none",5.715,"mgo",1.27
"large sample","M",43,"alpha","mgo",8.89,"ss304",0.635
"large sample","A",29,"alpha","none",13.97,"ss304",1.27
"large sample","A",52,"alpha","none",21.59,"be",0.635
"large sample","D",53,"alpha","none",1.905,"ch2",0.635
"metallurgy","E",35,"alpha","none",1.27,"mgo",0.635
"large sample","A",65,"alpha","none",0.635,"al",0.635
"waste","A",9,"alpha","ch2",11.43,"ch2",2.54
"small sample","A",24,"alpha","none",5.715,"ch2",0.635
"large sample","A",19,"alpha","ch2",13.97,"ch2",1.905
"metallurgy","B",143,"alpha","none",6.985,"ch2",1.27
"small sample","A",58,"alpha","none",6.985,"ss304",1.27
"solution","A",29,"alpha","none",6.985,"ch2",1.27
"large sample","B",270,"alpha","none",1.905,"ss304",0.635
"large sample","A",42,"alpha","mgo",4.445,"ch2",3.81
"small sample","A",11,"alpha","none",8.255,"ch2",1.27
"large sample","A",16,"alpha","none",3.81,"mgo",0.635
"large sample","A",43,"alpha","none",1.27,"ch2",1.27
"large sample","A",16,"alpha","none",15.875,"ss304",1.905
"small sample","A",65,"alpha","none",10.795,"ch2",3.175
"small sample","A",15,"alpha","ch2",1.905,"ch2",0.635
"waste","A",54,"alpha","mgo",1.905,"ch2",0.635
"small sample","A",32,"alpha","none",6.35,"ch2",1.27
"large sample","A",38,"alpha","none",5.08,"ch2",1.27
"solution","A",2,"alpha","ch2",1.905,"ch2",1.27
"small sample","A",28,"alpha","none",3.81,"ch2",0.635
"solution","A",18,"alpha","none",20.32,"ch2",1.27
"large sample","M",254,"alpha","none",0.635,"ch2",0.635
"small sample","A",52,"alpha","none",0.635,"ch2",1.905
"small sample","A",30,"alpha","none",8.89,"ss304",0.635
"machining","A",33,"alpha","none",8.255,"ch2",1.27
"metallurgy","E",77,"alpha","none",4.445,"ch2",0.635
"metallurgy","E",30,"alpha","none",1.905,"ch2",0.635
"large sample","D",13,"alpha","none",1.27,"mgo",0.635
"small sample","A",23,"alpha","none",3.175,"ch2",5.08
"large sample","A",65,"alpha","none",5.08,"ch2",0.635
"machining","M",13,"alpha","ch2",2.54,"ss304",0.635
"machining","M",53,"alpha","none",1.27,"ss304",0.635
"machining","M",22,"alpha","none",8.89,"ch2",0.635
"large sample","M",83,"alpha","none",6.985,"ss304",0.635
"large sample","A",53,"alpha","mgo",3.81,"mgo",0.635
"large sample","A",15,"alpha","none",4.445,"ch2",0.635
"machining","M",2,"alpha","none",7.62,"ch2",0.635
"large sample","A",29,"alpha","none",16.51,"ss304",1.27
"machining","M",15,"alpha","none",15.24,"ch2",0.635
"large sample","A",14,"alpha","none",36.83,"ss304",2.54
"small sample","A",43,"alpha","none",6.35,"ch2",0.635
"large sample","M",68,"alpha","none",8.255,"ch2",0.635
"large sample","D",65,"alpha","mgo",2.54,"ch2",0.635
"waste","A",57,"alpha","none",3.81,"ss304",1.905
"large sample","E",64,"alpha","none",0.635,"mgo",0.635
"large sample","A",31,"alpha","none",5.08,"ch2",0.635
"waste","P",65,"alpha","none",15.24,"ch2",0.635
"large sample","C",341,"alpha","mgo",3.175,"none",0.635
"machining","M",77,"alpha","none",3.81,"ss304",0.635
"machining","M",45,"alpha","ch2",6.35,"ch2",0.635
"small sample","A",38,"alpha","none",16.51,"ss304",0.635
"machining","M",16,"alpha","none",4.445,"ss304",0.635
"small sample","A",65,"alpha","none",10.16,"ch2",1.27
"small sample","A",10,"alpha","none",9.525,"ss304",2.54
"small sample","A",45,"alpha","none",6.35,"ch2",0.635
"small sample","A",7,"alpha","none",6.35,"ch2",1.27
"solution","A",33,"alpha","ch2",10.795,"ss304",0.635
"large sample","A",26,"alpha","none",8.89,"mgo",1.905
"large sample","B",37,"alpha","none",10.16,"ch2",2.54
"waste","A",47,"alpha","none",3.81,"pb",1.905
"small sample","A",65,"alpha","mgo",12.7,"ch2",0.635
"solution","A",2,"alpha","none",5.08,"ch2",4.445
"small sample","A",25,"alpha","ch2",1.905,"ch2",0.635
"machining","M",92,"alpha","none",8.89,"ch2",0.635
"waste","P",88,"alpha","none",11.43,"ch2",2.54
"solution","A",4,"alpha","ch2",6.985,"be",0.635
"metallurgy","A",21,"alpha","none",10.16,"ss304",2.54
"small sample","A",65,"alpha","none",17.145,"al",0.635
"large sample","A",65,"alpha","none",1.905,"ch2",1.27
"metallurgy","A",6,"alpha","mgo",6.985,"du",0.635
"large sample","E",80,"alpha","none",0.635,"mgo",0.635
"machining","M",15,"alpha","ch2",1.27,"ch2",0.635
"small sample","A",34,"alpha","none",20.955,"ch2",2.54
"small sample","A",13,"alpha","none",2.54,"ch2",0.635
"solution","A",12,"alpha","ch2",6.985,"ch2",1.27
"metallurgy","A",50,"alpha","none",4.445,"al",0.635
"metallurgy","A",28,"alpha","none",6.985,"ss304",2.54
"waste","P",213,"alpha","none",1.905,"ss304",0.635
"large sample","B",109,"alpha","none",3.175,"mgo",0.635
"machining","M",39,"alpha","ch2",7.62,"mgo",0.635
"large sample","M",79,"alpha","none",16.51,"ch2",0.635
"solution","A",47,"alpha","ch2",3.81,"ch2",2.54
"small sample","A",18,"alpha","none",10.795,"mgo",1.27
"machining","M",5,"alpha","none",5.715,"ss304",0.635
"machining","M",48,"alpha","none",8.255,"ss304",1.27
"solution","A",15,"alpha","ch2",11.43,"pb",0.635
"solution","A",11,"alpha","none",18.415,"ss304",1.27
"waste","P",41,"alpha","none",14.605,"ch2",2.54
"solution","A",11,"alpha","none",8.89,"ss304",0.635
"large sample","D",35,"alpha","none",6.35,"ch2",0.635
"large sample","D",130,"alpha","none",2.54,"ss304",0.635
"waste","P",84,"alpha","none",12.7,"mgo",3.175
"metallurgy","E",45,"alpha","none",1.27,"ch2",1.27
"small sample","A",4,"alpha","ch2",4.445,"mgo",1.27
"large sample","D",67,"alpha","mgo",1.905,"ch2",0.635
"metallurgy","E",11,"alpha","none",2.54,"ch2",0.635
"large sample","A",42,"alpha","mgo",10.795,"mgo",0.635
"metallurgy","A",36,"alpha","none",7.62,"ch2",1.27
"small sample","B",9,"alpha","ch2",4.445,"ch2",2.54
"small sample","A",26,"alpha","none",22.225,"al",1.27
"large sample","E",89,"alpha","none",1.905,"ch2",0.635
"solution","A",25,"alpha","none",1.905,"be",3.81
"large sample","E",117,"alpha","none",3.175,"al",0.635
"solution","A",23,"alpha","ch2",7.62,"ch2",1.27
"small sample","A",39,"alpha","none",4.445,"ch2",1.27
"large sample","A",57,"alpha","none",0.635,"ss304",1.27
"solution","A",8,"alpha","ch2",3.175,"ch2",1.905
"large sample","D",107,"alpha","none",3.175,"mgo",0.635
"large sample","A",39,"alpha","ch2",12.7,"al",1.27
"solution","A",9,"alpha","none",1.905,"ch2",1.905
"metallurgy","A",65,"alpha","none",18.415,"ss304",0.635
"metallurgy","B",253,"alpha","none",3.175,"ss304",1.27
"waste","A",27,"alpha","none",5.715,"pb",0.635
"large sample","D",20,"alpha","none",1.905,"ch2",0.635
"large sample","A",15,"alpha","none",5.08,"ch2",1.905
"large sample","A",65,"alpha","none",10.795,"ch2",0.635
"small sample","A",39,"alpha","ch2",12.7,"ch2",0.635
"solution","A",12,"alpha","none",13.335,"ch2",0.635
"small sample","A",27,"alpha","none",0.635,"be",1.905
"large sample","M",23,"alpha","ch2",11.43,"ss304",0.635
"small sample","A",14,"alpha","none",20.955,"ch2",1.905
"large sample","A",33,"alpha","none",5.715,"mgo",0.635
"solution","A",12,"alpha","none",2.54,"ch2",0.635
"machining","M",30,"alpha","ch2",8.255,"ch2",0.635
"large sample","A",17,"alpha","none",5.715,"ss304",6.35
"small sample","A",33,"alpha","none",3.81,"ch2",1.905
"solution","A",16,"alpha","none",3.81,"ch2",1.27
"solution","A",16,"alpha","ch2",27.305,"ch2",0.635
"small sample","A",32,"alpha","ch2",3.81,"ss304",1.905
"large sample","A",42,"alpha","none",10.795,"ch2",6.35
"large sample","A",30,"alpha","none",5.715,"ss304",1.905
"small sample","A",65,"alpha","none",12.7,"ch2",3.175
"small sample","A",16,"alpha","ch2",6.35,"ch2",3.175
"small sample","A",33,"alpha","none",4.445,"ch2",3.175
"large sample","A",38,"alpha","none",12.7,"ch2",0.635
"large sample","D",16,"alpha","none",1.905,"mgo",0.635
"small sample","A",58,"alpha","none",7.62,"ch2",0.635
"metallurgy","A",16,"alpha","ch2",1.905,"ss304",0.635
"solution","A",27,"alpha","ch2",14.605,"ch2",1.27
"large sample","A",12,"alpha","none",10.795,"ch2",1.27
"large sample","D",49,"alpha","none",0.635,"ss304",0.635
"small sample","A",57,"alpha","none",12.7,"ch2",1.27
"metallurgy","E",399,"alpha","none",4.445,"ch2",0.635
"large sample","A",13,"alpha","none",21.59,"mgo",2.54
"small sample","A",32,"alpha","none",12.7,"ch2",0.635
"large sample","A",15,"alpha","none",9.525,"mgo",1.905
"metallurgy","B",159,"alpha","ch2",6.35,"ch2",1.905
"metallurgy","B",59,"alpha","none",4.445,"ch2",3.175
"large sample","A",37,"alpha","none",20.955,"ch2",0.635
"metallurgy","A",15,"alpha","none",9.525,"ch2",1.905
"small sample","A",20,"alpha","none",9.525,"ch2",2.54
"large sample","A",24,"alpha","none",7.62,"al",1.905
"machining","M",17,"alpha","none",13.335,"ch2",0.635
"large sample","A",65,"alpha","none",11.43,"ch2",0.635
"large sample","M",345,"alpha","none",19.685,"ss304",0.635
"large sample","A",64,"alpha","none",15.875,"ss304",0.635
"waste","P",130,"alpha","none",5.715,"ch2",0.635
"solution","A",18,"alpha","none",8.89,"ch2",0.635
"small sample","A",65,"alpha","ch2",1.27,"ch2",2.54
"large sample","A",6,"alpha","none",4.445,"ch2",1.27
"small sample","A",56,"alpha","ch2",15.24,"ch2",1.27
"solution","A",22,"alpha","none",13.335,"ch2",1.27
"metallurgy","A",37,"alpha","none",4.445,"mgo",1.905
"small sample","A",49,"alpha","none",13.97,"ch2",0.635
"small sample","A",47,"alpha","ch2",8.255,"ch2",0.635
"waste","P",126,"alpha","none",14.605,"ss304",0.635
"metallurgy","A",5,"alpha","none",19.05,"ss304",3.81
"large sample","D",41,"alpha","none",3.175,"ss304",0.635
"small sample","A",14,"alpha","none",7.62,"ch2",2.54
"machining","M",45,"alpha","none",17.145,"ch2",0.635
"metallurgy","A",65,"alpha","none",28.575,"ch2",1.27
"metallurgy","E",29,"alpha","none",3.175,"mgo",0.635
"solution","A",36,"alpha","ch2",23.495,"ch2",1.27
"solution","A",9,"alpha","none",17.145,"ss304",3.81
"small sample","A",41,"alpha","none",8.255,"ch2",0.635
"small sample","B",68,"alpha","ch2",4.445,"du",1.27
"solution","A",17,"alpha","none",2.54,"ch2",1.27
"solution","A",30,"alpha","none",1.27,"ch2",0.635
"waste","P",46,"alpha","none",9.525,"ch2",0.635
"small sample","A",37,"alpha","ch2",12.065,"ch2",0.635
"small sample","A",23,"alpha","none",8.255,"ch2",1.905
"small sample","A",21,"alpha","none",9.525,"ch2",0.635
"large sample","A",9,"alpha","ch2",4.445,"ss304",0.635
"machining","M",70,"alpha","ch2",5.08,"ch2",0.635
"large sample","A",41,"alpha","none",12.065,"ch2",1.27
"small sample","A",16,"alpha","none",7.62,"mgo",2.54
"large sample","M",206,"alpha","none",7.62,"ss304",0.635
"large sample","A",38,"alpha","none",1.905,"ch2",1.27
"waste","P",112,"alpha","ch2",10.795,"mgo",2.54
"machining","M",30,"alpha","none",6.985,"ch2",1.27
"solution","A",8,"alpha","ch2",10.795,"du",1.27
"small sample","A",23,"alpha","none",3.175,"ch2",3.175
"large sample","M",220,"alpha","ch2",19.685,"ch2",0.635
"metallurgy","A",25,"alpha","none",8.89,"mgo",2.54
"machining","M",128,"alpha","ch2",5.08,"ch2",0.635
"large sample","M",66,"alpha","none",3.175,"ch2",0.635
"waste","A",25,"alpha","mgo",26.67,"ss304",0.635
"metallurgy","A",65,"alpha","mgo",22.86,"ss304",1.27
"solution","A",3,"alpha","none",13.335,"al",2.54
"solution","A",15,"alpha","ch2",23.495,"ch2",0.635
"large sample","D",142,"alpha","ch2",0.635,"mgo",0.635
"small sample","A",31,"alpha","none",8.89,"ss304",0.635
"large sample","A",53,"alpha","none",5.715,"ss304",0.635
"small sample","A",42,"alpha","none",5.715,"ch2",1.905
"large sample","A",10,"alpha","none",4.445,"ch2",0.635
"small sample","A",37,"alpha","none",0.635,"ss304",2.54
"small sample","A",65,"alpha","none",5.715,"ch2",1.27
"large sample","A",10,"alpha","mgo",5.715,"ch2",1.905
"large sample","A",26,"alpha","none",23.495,"ch2",0.635
"large sample","A",23,"alpha","none",15.875,"mgo",1.27
"small sample","A",41,"alpha","none",6.35,"ch2",1.27
"machining","A",36,"alpha","none",12.7,"ch2",0.635
"small sample","A",18,"alpha","none",20.32,"ch2",4.445
"large sample","E",139,"alpha","none",0.635,"mgo",0.635
"solution","A",17,"alpha","none",26.035,"ch2",1.27
"machining","M",17,"alpha","ch2",11.43,"ss304",0.635
"small sample","A",3,"alpha","ch2",3.81,"ch2",1.905
"small sample","A",47,"alpha","none",5.715,"ch2",1.27
"small sample","B",18,"alpha","none",2.54,"ch2",1.905
"large sample","A",17,"alpha","none",15.24,"mgo",1.27
"solution","A",2,"alpha","none",24.13,"ch2",1.27
"large sample","E",129,"alpha","ch2",1.27,"ch2",0.635
"small sample","A",38,"alpha","none",12.065,"ch2",1.905
"machining","A",10,"alpha","mgo",9.525,"ch2",1.27
"small sample","A",60,"alpha","ch2",8.255,"ch2",0.635
"waste","P",138,"alpha","none",12.065,"ss304",2.54
"waste","A",37,"alpha","none",6.985,"ss304",3.81
"small sample","A",1,"alpha","none",8.89,"ch2",1.905
"solution","A",5,"alpha","none",3.175,"ss304",1.27
"metallurgy","A",26,"alpha","mgo",10.795,"ch2",1.27
"metallurgy","E",91,"alpha","none",1.905,"ss304",0.635
"large sample","A",31,"alpha","none",15.875,"ch2",0.635
"small sample","A",33,"alpha","ch2",5.08,"pb",1.905
"large sample","A",17,"alpha","none",8.255,"mgo",2.54
"small sample","A",7,"alpha","ch2",5.08,"ch2",1.27
"small sample","A",8,"alpha","ch2",1.27,"ch2",0.635
"small sample","A",24,"alpha","none",19.05,"al",0.635
"small sample","A",43,"alpha","none",3.81,"ss304",0.635
"waste","P",41,"alpha","none",5.715,"ch2",2.54
"large sample","A",45,"alpha","mgo",6.35,"ch2",3.175
"large sample","D",25,"alpha","mgo",0.635,"ch2",0.635
"machining","M",70,"alpha","none",6.35,"ch2",0.635
"solution","A",32,"alpha","none",10.16,"ch2",0.635
"large sample","M",86,"alpha","none",27.94,"ch2",0.635
"solution","A",21,"alpha","none",10.795,"ch2",0.635
"large sample","A",22,"alpha","ch2",10.16,"ch2",0.635
"small sample","A",44,"alpha","ch2",7.62,"al",0.635
"small sample","A",25,"alpha","ch2",12.7,"ch2",2.54
"machining","M",25,"alpha","ch2",1.27,"ch2",0.635
"small sample","A",45,"alpha","ch2",6.35,"mgo",1.27
"large sample","D",22,"alpha","none",3.81,"mgo",0.635
"large sample","A",11,"alpha","none",15.24,"ch2",0.635
"solution","A",35,"alpha","ch2",11.43,"ss304",1.27
"machining","M",64,"alpha","ch2",19.05,"ch2",0.635
"small sample","A",11,"alpha","ch2",10.795,"ch2",1.27
"solution","A",25,"alpha","none",13.335,"ss304",0.635
"large sample","A",18,"alpha","none",3.81,"ch2",2.54
"large sample","A",11,"alpha","mgo",12.7,"ch2",1.27
"large sample","E",28,"alpha","none",1.905,"ch2",0.635
"large sample","A",17,"alpha","none",1.27,"ss304",2.54
"metallurgy","E",66,"alpha","none",0.635,"ss304",0.635
"large sample","D",114,"alpha","none",1.905,"ch2",0.635
"large sample","D",25,"alpha","none",1.905,"ss304",1.27
"metallurgy","A",44,"alpha","none",35.56,"ch2",0.635
"metallurgy","E",109,"alpha","none",1.27,"ch2",0.635
"large sample","E",109,"alpha","none",0.635,"mgo",0.635
"large sample","D",34,"alpha","ch2",6.35,"ss304",0.635
"small sample","A",16,"alpha","ch2",5.715,"ch2",1.905
"metallurgy","E",103,"alpha","none",1.27,"ch2",0.635
"small sample","A",19,"alpha","none",9.525,"ch2",0.635
"small sample","B",16,"alpha","none",2.54,"al",1.27
"small sample","A",26,"alpha","none",22.86,"ch2",3.175
"small sample","A",64,"alpha","none",14.605,"mgo",6.35
"large sample","A",63,"alpha","none",23.495,"ch2",0.635
"small sample","A",45,"alpha","none",3.81,"ch2",0.635
"small sample","A",65,"alpha","none",1.905,"ch2",2.54
"small sample","A",35,"alpha","none",12.7,"ch2",0.635
"solution","A",19,"alpha","none",8.255,"ch2",0.635
"machining","M",67,"alpha","none",5.08,"ss304",0.635
"large sample","C",30,"alpha","none",1.905,"none",0.635
"small sample","A",13,"alpha","none",3.81,"ch2",1.27
"large sample","A",20,"alpha","none",8.255,"ch2",2.54
"large sample","C",115,"alpha","none",5.08,"none",0.635
"machining","M",40,"alpha","none",12.7,"ch2",0.635
"small sample","A",65,"alpha","ch2",6.985,"ch2",0.635
"small sample","A",45,"alpha","none",5.08,"ss304",1.905
"machining","M",103,"alpha","none",3.81,"pb",0.635
"large sample","A",33,"alpha","none",5.08,"ch2",1.27
"small sample","A",12,"alpha","none",2.54,"ch2",0.635
"small sample","A",20,"alpha","none",6.985,"ch2",1.905
"machining","M",55,"alpha","none",0.635,"be",0.635
"solution","A",1,"alpha","ch2",3.81,"ch2",0.635
"large sample","C",25,"alpha","none",1.27,"none",0.635
"large sample","A",8,"alpha","mgo",0.635,"ss304",2.54
"large sample","M",29,"alpha","mgo",11.43,"ch2",0.635
"machining","M",19,"alpha","ch2",6.35,"ch2",0.635
"small sample","A",65,"alpha","none",14.605,"ch2",1.27
"large sample","A",65,"alpha","none",29.21,"mgo",2.54
"metallurgy","A",42,"alpha","none",13.335,"ss304",0.635
"large sample","A",30,"alpha","none",15.24,"ch2",0.635
"waste","P",84,"alpha","none",6.985,"al",1.27
"metallurgy","A",28,"alpha","none",27.94,"mgo",0.635
"large sample","E",61,"alpha","none",1.905,"ss304",0.635
"large sample","A",22,"alpha","none",14.605,"ch2",1.27
"solution","A",2,"alpha","none",10.16,"ch2",2.54
"small sample","A",9,"alpha","none",4.445,"ch2",1.27
"solution","A",12,"alpha","ch2",10.16,"al",1.905
"large sample","E",90,"alpha","none",1.27,"mgo",0.635
"large sample","M",157,"alpha","none",13.335,"ss304",0.635
"large sample","A",22,"alpha","none",8.89,"ss304",0.635
"waste","A",17,"alpha","none",5.715,"mgo",0.635
"small sample","A",42,"alpha","none",1.27,"ch2",1.905
"large sample","D",131,"alpha","ch2",3.81,"ch2",0.635
"machining","M",48,"alpha","ch2",6.985,"ch2",0.635
"large sample","A",23,"alpha","none",19.05,"ss304",1.905
"large sample","A",20,"alpha","none",2.54,"ss304",3.81
"small sample","A",33,"alpha","ch2",12.7,"ch2",1.27
"large sample","A",55,"alpha","none",15.24,"ss304",0.635
"metallurgy","B",167,"alpha","ch2",4.445,"ch2",0.635
"solution","A",3,"alpha","ch2",22.225,"ch2",1.27
"large sample","A",13,"alpha","none",8.89,"mgo",0.635
"large sample","A",41,"alpha","none",17.145,"pb",1.27
"machining","M",28,"alpha","none",17.78,"ch2",1.27
"metallurgy","A",52,"alpha","none",15.875,"ch2",1.905
"metallurgy","A",12,"alpha","ch2",24.13,"ss304",5.08
"small sample","A",21,"alpha","none",18.415,"ch2",0.635
"large sample","C",51,"alpha","none",5.715,"none",0.635
"metallurgy","A",24,"alpha","none",22.225,"mgo",1.905
"machining","A",55,"alpha","none",2.54,"al",3.175
"small sample","A",4,"alpha","none",4.445,"mgo",1.27
"metallurgy","A",34,"alpha","ch2",17.78,"ch2",1.27
"large sample","M",35,"alpha","none",6.985,"du",0.635
"large sample","A",65,"alpha","none",13.97,"ch2",1.27
"waste","A",14,"alpha","none",3.81,"mgo",0.635
"small sample","A",13,"alpha","ch2",2.54,"ch2",1.905
"metallurgy","A",45,"alpha","none",39.37,"ss304",0.635
"small sample","A",16,"alpha","ch2",11.43,"ch2",0.635
"large sample","M",37,"alpha","none",3.175,"ch2",0.635
"small sample","B",20,"alpha","none",7.62,"ch2",1.27
"large sample","D",30,"alpha","none",1.27,"ch2",0.635
"metallurgy","E",90,"alpha","none",1.905,"ss304",0.635
"waste","P",169,"alpha","none",11.43,"ch2",0.635
"small sample","A",39,"alpha","none",19.05,"al",0.635
"large sample","A",14,"alpha","none",10.16,"al",1.905
"small sample","A",45,"alpha","ch2",8.255,"ch2",0.635
"small sample","A",56,"alpha","none",3.175,"ss304",3.81
"large sample","A",49,"alpha","none",5.715,"ch2",0.635
"small sample","A",59,"alpha","ch2",4.445,"mgo",0.635
"large sample","M",14,"alpha","none",6.35,"mgo",0.635
"metallurgy","A",4,"alpha","ch2",22.225,"ch2",0.635
"large sample","D",76,"alpha","none",2.54,"ss304",0.635
"machining","M",7,"alpha","none",0.635,"ch2",0.635
"large sample","A",16,"alpha","none",18.415,"ch2",1.27
"large sample","A",23,"alpha","none",9.525,"ss304",0.635
"metallurgy","A",23,"alpha","none",11.43,"ss304",1.27
"small sample","A",26,"alpha","ch2",10.795,"ch2",0.635
"small sample","A",13,"alpha","none",17.78,"ch2",1.905
"small sample","A",65,"alpha","mgo",5.715,"ch2",0.635
"large sample","A",35,"alpha","none",5.715,"mgo",3.81
"small sample","A",32,"alpha","ch2",24.13,"ch2",2.54
"large sample","C",340,"alpha","none",3.175,"none",0.635
"small sample","A",2,"alpha","none",5.715,"ch2",0.635
"small sample","A",29,"alpha","none",10.795,"ch2",0.635
"solution","A",18,"alpha","none",18.415,"al",1.27
"large sample","A",37,"alpha","none",13.335,"ss304",1.27
"small sample","A",19,"alpha","none",13.97,"ch2",0.635
"solution","A",3,"alpha","ch2",2.54,"ch2",2.54
"large sample","A",65,"alpha","none",9.525,"ch2",1.905
"small sample","B",6,"alpha","none",1.905,"ch2",1.27
"machining","M",37,"alpha","none",20.32,"ch2",0.635
